,id,tweet,sarcastic,rephrase,dialect
1638,1639,  روسيا و  الصين تستخدمان الفيتو مجدّدًا ضد السوريين، برفض مشروع قرار يطالب بهدنة مدتها سبعة أيام في مدينة  حلب. سوريا ,0,,msa
702,703,هي الدنيا مالها بردت كده ليه,1,كسفت نفسي لما اتصرفت بشكل وحش,nile
356,357,لسانك سباب بلاك,1,لسانك طويل جدا,magreb
613,614,عم ترامب دا المفروض يبقي بتاع عصير,1,ترامب لونه برتقالي,nile
2398,2399,المشكلة هي في أنصار الجدل العقيم، المشكلة هي في أحزاب وتيارات تريد دستورا رجعيا بنتقص من الحقوق والحريات باسم خطر متوهم هو مخالفة الشريعة,0,,msa
3029,3030,رياض محرز يحتفل بخطوبته على عارضة الأزياء الإنجليزية الواحد كان بيحترمك فعلا ما فيش غير محمد صلاح فخر العرب,0,,nile
1278,1279,د أبو الفتوح في العاشرة مساء : أنزعج الآن من الأداء الأمني و هناك تباطوء متعمد من الجهات الأمنية في عودة الأمن لمصر,0,,msa
1361,1362, القرار سوف يعلن خلال الايام القادمة بعد التشاور مع الجامعة العربية و بعض الدول الخليجية و بعدمطالب شعبيةتطالب الرئيس بقطع العلاقات مع قطر ,0,,msa
1333,1334, مطر ربي يفرج عليك يا  بنغازي وبلادي  ليبيا ,0,,magreb
3,4,الحديث قياس فيه الفضة و فيه النحاس,1,لسانك ترجمان قلبك,magreb
394,395,ارسل دينارك و اقعد في دارك,1,الدراهم تقضي كل شيء,magreb
2324,2325,باسم يوسف لذيذ,0,,nile
2108,2109,إلى زملائي المحامين الراغبين في الانضمام لمبادرة(سامعين صوتك)التى تهدف لدمج متحدي الاعاقه في المجتمع يسعدنا اشتراككم,0,,msa
832,833,عنوان المصري اليوم  باسم يوسف يظهر ملتحيا عنوان غريبكأن الذقن حكر على مجموعة من الاشخاص النمطية مرض,0,,nile
2775,2776,في فن من أرقي الفنون في العالم تعلمناه من حبيبنا المصطفي إنه فن تجميع القلوب تعالوا نتعرف علي الفن ده و,0,,nile
111,112,داااااااااك الزين تقوول مارادونا,1,انتا بشع,magreb
406,407,الجواز ده عامل زي الحمامات العموميه,1,محدش مرتاح,nile
2904,2905,البامبرز بتاع ابني بيفضل طول الليل مش بيسرب ابدا,0,,nile
2328,2329,إستبشروا خير,0,,msa
60,61,مرايه الحب عمياء,1,ان المحب لايرى اى عيوب فى من يحب,nile
1827,1828, اسكندرية : محطة الرمل زمان أو دلوقت دايما جميلة :),0,,nile
1499,1500, ابي حساب شخص يوصل من امازون الامريكي وانتم شخصيا ضامنينه ,0,,gulf
726,727,والله صوته جميل لا تقول حمو بيكا ولا حسن شكوش,1,صوته وحش مثل السرسجية المتصدرين الغناء,nile
430,431,كلها شهرين وتطلق ونشوف احلامك واحلامها ف محكمة الآسرة,1,الطلاق اصبح اكثر من الزواج,nile
2761,2762,تطبيق الشريعة,0,,msa
2498,2499,ألقاكم بعد ربع ساعة من الأن في برنامج (الحياة اليوم) على قناة الحياة، للحديث عن قضية الإساءة لرسولنا الكريم، صلى الله عليه وسلم,0,,msa
267,268,هالشب أطول من يوم الجمعة,1,الشب طويل,levant
439,440,قسما برب العزة انت يا شاكوش اخرك تشتغل مبيض محارة بعد احترامى طبعا ليهم,1,شاكوش اخره عامل بأجر وليس مطرب صوته وحش,nile
1599,1600, ي لبييه.  ماذا لو المدارس مختلطه ,0,,msa
2109,2110, مندوبة  الولايات المتحدة في  الأمم المتحدة: نرحب بأي هدنة في  سوريا لكن دون أن تكون مقدمة للعودة للقصف الوحشي ,0,,msa
483,484,اقوى فريق فى الدورى بيقدم ضحك هو الاسماعيلى,1,فريق الإسماعيلى فاشل فى الدورى,nile
860,861, ياويلللي اعوذ بالله  ماذا لو المدارس مختلطه ,0,,nile
490,491,لما دول عندهم عنوسة أمال المصريات هتقول إيه,1,كيف يكونوا بهذا الجمال وعانسات,nile
462,463,ساعدوا اللي مش لاقين ياكلوا الاول,1,بدلا من صرف الأموال على البروباجندا اصرفوها على الفقراء,nile
1592,1593, كفاية اسفاف,0,,nile
54,55,فاكر نفسك نجيب محفوظ دا انت اخرك بتاع لبوس وبتشير علي البلوتوث 😒,1,فاكر نفسك نجيب محفوظ ده أنت مبتفهمش حاجة,nile
15,16,هيورينا ايام اسود من قرن الخروب,1,هيورينا ايام صعبة وشديدة,nile
950,951, سلام وحب لقيثارة الروح كل سنة وانت طيبة   فيروز ,0,,msa
2416,2417,سلام اناابنة استاذايمن شويقي أوصاني أبي بان أوصلكم رسالته وهو بخير وصحته جيدة ومعنوياته مرتفعة ويشكر كل من سأل عنه ويبشرك…,0,,msa
353,354,نفض يا مان كبر ايزى ايزى,1,متشغلش بالك,nile
1162,1163, أوقفوا الفحم في  مصر ,0,,msa
596,597,وتبغى زيادة بحبك...أجيب لك قلب ثاني منين؟,1,بحبك كتير جدا وحبك يملا القلب,gulf
926,927,الإرهاب نهايته 'مزبلة التاريخ',0,,msa
2681,2682, وزير التموين:  الدعم لا يصل لمستحقيه وعودة  المجمعات الاستهلاكية قبل رمضان || لمزيد من التفاصيل على الرابط,0,,msa
710,711,النساء هن بعد الصحافه افضل وسيله لنقل الاخبار,1,حديث النساء بينقل الأخبار بسرعة,magreb
1430,1431, تشوركين ردا على سؤال ⁧ الجزيرة⁩ كيري هو من أطلق النقاش والتدابير حول انسحاب كل المقاتلين من  حلب وعدم اقتصار ذلك على النصرةوليس   لافروف ,0,,msa
139,140,اعطي الريح لرجليك,1,اهرب عن وجهي,magreb
2532,2533,  الجيش السوري يستعيد مدينة  التل بريف دمشق بعد خروج المسلحين وتسليم اسلحتهم ,0,,msa
2362,2363,  كاسترو يجمعنا ,0,,msa
2492,2493, القصف الخاطئ الذي شاركت به طائرات من  الدنمارك و بريطانيا و استراليا استهدف  الجيش السوري في  دير الزور وفق التحقيق الاميركي ,0,,msa
2052,2053, جزيل الشكر والتقدير لمحمد يحيى احمد الشيخ وسيد أحمد أحمد الشيخ على كرم الضيافه وحسن الوفاده  بقلمي ,0,,msa
197,198,كلام الناس لا بيقدم ولا ياخر كلام الناس ملامه وغيره,1,كل كلام الناس ماهو الا غيره وكلام فارغ,nile
105,106,عامل فيها بطل وهو بتاع بليله,1,غلبان في حاله وعامل فيها شجاع,nile
788,789,جمهورية  شبرا الخيمة :),0,,msa
176,177,روحى الهى وانت جاى يصدمك تورماى,1,ربنا ياخدك,nile
1252,1253,في الطريق إلى أسوان لأول مرة منذ أكثر من 15 عاما بدعوة كريمة من الدكتور مجدي يعقوب لحضور افتتاح المبنى الجديد بمستشفى القلب هناك,0,,msa
29,30,ايه ياخد الريح من البلاط,1,انت ليس معك شئ قيم,nile
2399,2400,تصدى نور الدين للقوات النصرانية المتحالفة ضده والتقى بهم في رمضان سنة 559هـ غربي حلب عند حارم وهزمهم جميعا ستبقى حلب,0,,msa
3057,3058,تعرف على حقوق المؤمن عليه المصاب أثناء العمل بعجز جزئى مستديم وفقا للقانون,0,,nile
427,428,انتم تقريبا بتوصلوا رسالة للشباب الايام دي. اختصارها بلا تعليم بلا زفت.,1,المنظومة التعليمية فاسدة ومضرة للشباب,nile
2546,2547,دراسه عن التاريخ السرى لجماعه الاخوان المسلمين تحت عنوان الاغتيال منهج حياه من دراسه الكاتب  يوسف الحسينى اكتر من رائع…,0,,msa
132,133,الى يعوزه البيت يحرم على الجامع,1,اى ان جمع الضراب حرام فى حاله الفقر,nile
1149,1150,منذ غرس بذرتها الشهيد  حسن البنا ليسقيها بدمه صاحب الظلال ليتم الفتك ببطل أول صندوق إنتخابي ديموقراطي وشعبية  الاخوان …,0,,msa
1247,1248, 🔹الثقافة القرآنية🔘 ما يخرج أمتنا من مأزقها و هوانها و ذلها بين الأمم هو العودة الصادقة إلى الرسول ورسالته.💚ذكرئ.المولد.النبوي.الشريف ,0,,msa
1382,1383,اتقدم بالشكر الجزيل للفنانة القديرة هالة فاخر على رايها الذى اعتز به كثيرا,0,,msa
542,543,بيوزعوا سيجاره فرط مع بلح و علبه عصير و مولتو علشان يكون كسب ثواب الافطار كامل,1,يفسد الصيام بالسجائر,nile
593,594,داك الزين تقول مهند,1,شكله جميل مثل الممثل مهند التركي,magreb
1539,1540,اتمنى ان يحقق الرئيس مرسي وعده بإعادة تشكيل اللجنة التأسيسية حتى يجنب مصر صراعات ستدفع ثمنها غاليا لابد من تطهيرالدولة من الفاسدين والفلول,0,,msa
520,521,انت واخد في نفسك مقلب,1,شايف نفسو جامد وهو غير كدة بس مش واخد بالو,nile
590,591,رايح يساعد الناس كلها كان ساعد نفسة اصل باب النجار مخلع,1,هو محتاج يساعد نفسه قبل مساعدة الناس,nile
1265,1266,لولا الانقلاب لسارت عجلة البناء والعلم والاقتصاد والحريات والقانون اسرع من احلامنا,0,,msa
379,380,المصريين للسيسي احنا اللى اكلنا الجبنة,1,سخرية من فشل السيسي واتهامه للمصريين بانهم السبب فى كل شيء,nile
390,391,الفنلات الحمالات دي بقيت بموت فيها بسبب جوزي قاعد بيها ليل نهار,1,بيكرهني ف الفنالات الحمالات بسبب جوزي قاعد بيها طول الوقت,nile
2385,2386,:))  باسم يوسف  البرنامج,0,,nile
1062,1063, صباح الخير يا يمن اللهـم أني أعوذ بك من جهد البلاء ودرك الشقاء وسوء القضاء وشماتة الأعداء وغدر المرتزقة وخيانة الإصلاح حفظ الله  اليمن ,0,,msa
343,344,محدش شاف ترامب يا جدعان ؟ أصله كان بيقول انه متفوق على بايدن في الاصوات,1,ترامب كاذب,nile
769,770,مصادر : 80 حافلة خرجت من أحياء حلب الشرقية حتى الآن تحمل مسلحين وعائلاتهم.,0,,msa
2858,2859,فى المدرسه بيعلموك ثم يعطوك الامتحان فى الحياه الامتحان الاول,0,,msa
493,494,فشلت في التمثيل ومقضياها فساتين ومهرجانات يارب ربع حظها,1,لا تصلح للتمثيل ومتصدرة بالمهرجانات,nile
2402,2403,انا فعلا نفسي تحصل منظره بين  حمدين و  السيسي,0,,nile
2043,2044,2050 بص يا سيدي انا ضد فض أي اعتصام بالقوة وأعلنت ده بعد الحرس الجمهوري وأيضاً غلق المحطات ولكن هذا لن يجعلني ادعم طفاسة قيادات فاشلة,0,,nile
2375,2376,حلوان وروكسي وعين شمس بورسعيد وبنى سويف والمنيا والفيوم والسويس شكرا حشودكم شعب مصر عظيم,0,,msa
41,42,[ عندك سلـف ] : سؤال يثير الرعب في المجتمع ويؤدي الى قطع الأرحام والتفكك الاسري =)),1,لا أحد يريد أن يسلف أمواله لغيره ومستعد لقطع رحمه ولا يعطى أمواله لأحد,msa
260,261,الي يحبك يبلعلك الزلط والي يكرهك يستنالك الغلط,1,كل من يحب يسامح وكل من يكره ينتهز الفرصة لاظهار عيوبك,nile
415,416,قصقصي ريش طيرك قبل ما يلوف على غيرك,1,لما تحبي شخص وتشكي انه هيبعد عنك افعلي اي شىء ليكون جانبك,nile
125,126,قالوا للحرامي احلف قال جاك الفرج,1,اللص لا يمين له,nile
2960,2961,الظاهرة الاداريه مرتضي منصور في 2019 مشي جروس قبل نهاية بطولة الدوري بكام ماتش عشان الزمالك كان هيكسب الدوري وجروس هياخد مكافأة 6 مليون رحنا خسرنا للدوري واتحكم علينا ندفع غرامة لجروس 9 مليون,0,,nile
1199,1200,بين فسيفساء التكفير والتفكير مساحة ليست بالواسعة المنبسطة ولا هي ارض قحط وعرة  مصر  لبنان  تونس  الأردن  الإمارات  السعودية  العراق  فلسطين,0,,msa
2500,2501, لماذا جبنة  كيري مربعة و ليست مثلثة ,0,,msa
459,460,الواد ده ذكي اوي لابس التيشرت مشقلب,1,الواد غبي مش عارف يلبس التيشرت,nile
690,691,و يا ترى ده دكتور و لا عيان,1,الدكتور شغله مبهدل زى العيان,nile
739,740,مفيش حاجه بتهون عليا مشاكل غير غبائى لانى ساعات مابهمش أن دى اصلا مشكلة,1,اللى مخلينى مرتاح البال وعادة أن أنا مش بفهم بسرعه المشاكل,nile
842,843, لما غيرت نظارتي خليتها دائرية كان كل البيت يتطنز علي وصرت هاري بوتر وكل شي والحين كل شوي جاي عندي احد يجربها بيشترون مثلها ,0,,gulf
1139,1140, يارب قرّ عيني بكُل دعوه فاض بها قلبي 💙 ,0,,msa
2938,2939,شربنا قهوة ورميته من فوق الكوبرى عشان الفلوس.. اعترفات قاتل صديقه بالدقهلية,0,,nile
98,99,بكره هتكون زي شكوش وحمو نمره كلهم بداو كدا وهيتكون عندك لامبرجيني,1,طالما هايف هتنجح,nile
706,707,الواد داخل الإمتحان أحمد زويل خرج من الإمتحان أحمد بطة,1,داخل الامتحان واثق من نفسه وماحلش حاجة وخارج يعيط,nile
1737,1738, في رايي الشخصي ... انه بعد تألق احمد الشيخ مع المقاصة كدة السنه الجاية الاهلي هيودي ميدو جابر اعارة للمقاصة و يأخد احمد الشيخ....  😂 😂 ,0,,nile
913,914, احمد الشيخ احسن لاعب فـ الدورى و المصرى احسن كوره لحد دلوقتى . ,0,,nile
1359,1360,السعودية  الرياض  الامارات  دبي  الجبيل تسويق 11:09:54,0,,msa
1044,1045, حلبوزير خارجية  الجزائر يشيد بتحرير  حلب الشرقية وبعودة سلطة  الدولة الشرعية لها سورية روسيا إيران ,0,,msa
22,23,الدنيا مترو والشمال كتروا,1,البنات الفاسقات كتروا فى المجتمع,nile
1482,1483,  فيروزعيد ميلاد سعيد أيتها القديسة العظيمة اعشقك ,0,,msa
489,490,اه منا لو كنت بنت كنت رديت عليا,1,أنت بترد علي البنات بس,nile
576,577,الاهم من انك تواصل السعى أن يكون ليك حد تقيل شغال فى حتمية الوصول,1,يعنى من الاخر لازم يكون عندك واسطه او حد يسندك عشان توصل لاخر القمة,nile
327,328,العنزة الجربانة ما بتشرب الا من راس النبع,1,المغرور يظن أنه دائما محظوظ و على حق,levant
1687,1688,هيئة مستشارى قضايا الدولة ترفض تعديلات الدستور مؤكدة انه يفتح الباب للفساد وشهد شاهد من اهلها,0,,msa
1524,1525,المذيع المحترم بتاع مصر ٢٥ بيقول فيه مظاهرات في شبرا بتهتف  بالطول بالعرض حنجيب الاسلام الارض  ثم يتسائل ما دخل الدين في صراع سياسي,0,,nile
2710,2711,أخر خاطر قبل النوم: اكبر جريمة في حق الثورة وحق مصر هو ان نحرم انفسنا من الفرصة الحقيقية التي دفع شهداء الثورة بأرواحهم من اجلهاو مازالوا,0,,msa
2876,2877,ده صوته شخص عامل زي الساقية صوت عالي على الفاضي,0,,nile
2469,2470,قصة كفاح حقيقية لشاب مصري من محافظة الفيوم، رغم إعاقته تحدي كل الظروف محمد الكيلاني محمود حميدة، أثناء طفولته,0,,nile
468,469,أسوء أكل بعد أكل مال اليتيم,1,مداق سيئ,magreb
110,111,ولسا حضرتك ياما تشوف انبهارات,1,فاكر نفسه عالم وهو لسا علي خبره قليله,nile
517,518,جاء يسعى ودر تسعة,1,جيت تعدلها فسدتها,magreb
30,31,ياريتنا افتكرنا ربع جنيه,1,ياريت كنت افتكرت اي حاجه حلوه,nile
234,235,فهمو ع قدو,1,فهمو قليل,levant
691,692,طلب دعوة من أمو فقالت ربي يبعد عليك بنات الحرام و حين ذهب إلى الجامعة لم تحتك به أي فتاة,1,كثرة بنات الحرام في الجامعة جعلته لا يتعرف على أي فتاة,magreb
2901,2902,لية يا عم أبو تريكة,0,,nile
2598,2599,بعد دقائق يتحدث حبيبنا دعبد المنعم أبو الفتوح على قناة الحياة عن رؤيته للاوضاع الاخيرة فى مصر ومسقبل البلد,0,,msa
2952,2953,برضوا مصممين تكدبوا !! ما كفايه بجاحه بقى اتحاد عرة,0,,nile
2121,2122,أحمد الله العلى القدير على ما شاء وقدر، واشكره سبحانه شكراً جزيلاً على تقديره نجاتى,0,,msa
2503,2504,مرة أخري ولكي لا نحبط، انتخاب رئيس بالإعلان الدستوري المبتسر يحمل معه بذرة الخلاف بين السلطات دستور ديمقراطي جديد هو مفتاح مصر المستقبل,0,,msa
1027,1028,أؤيد قرار د مرسي فيما يخص : 1- إبعاد النائب العام 2- محاكمة وإعادة محاكمة كل من لوثت يداه بدماء أو أموال المصريين,0,,msa
108,109,الديك الفصيح فى البيضه بيصيح,1,ان الذكاء بيظهر من الصغر,msa
614,615,اصبر على جار السوء يا يرحل يا تجيله داهية تأخذه.,1,اصبر على اذية الجار حتى رحيله او غير ذلك,nile
374,375,اللي يقول الايام تمشي بسرعة جرب تطفي النت يوم وشوف,1,النت يسرع الحياة,gulf
2088,2089,-  المصيبه اللي تقربك من  ربنا احسن من  النعمه اللي تنسيك  فضله,0,,nile
1888,1889,الرئيس سعد الحريري :  في ذكرى اغتيال الصديق جبران تويني، نظل على قسمه بأن نبقى موحدين دفاعا عن  وطننا، وفاء لـ 14 آذار ولكل شهدائنا. لبنان,0,,msa
623,624,اللى ياكل لوحده يزور,1,لو مشاركتش اللى حواليك في الخيرالذى معك فستصاب بالهم,nile
1794,1795,مشكلة اليسار مش اللي قاله العريان مشكلته إن رغم كونه الفصيل الأكثر فاعلية ونضالية في الثورة المصرية لم يستطع طرح شكل,0,,nile
792,793,إبداع الفشل بعض أحيان يزيد إلهامه عن إبداع النجاح,0,,msa
2867,2868,هو فيه مياة نروى بيها الزرع اصلا,0,,nile
2246,2247,كورسيرا أكبر موقع عالمي يحتوى على مناهج جامعات عالمية هي الأفضل في تصنيف 2013! نتعاون معهم لتعريب المناهج، شاركونا! …,0,,msa
2696,2697,  حركة المرور كثيفة على اوتوستراد  المطار باتجاه الانفاق وصولا الى  خلدة دون عوائق  لبنان الآن ,0,,msa
2150,2151, الحرية للإخوان  انصاف الاخوان,0,,msa
389,390,عندما أتذكر أن هناك فتاة أدين لها بخاتم و مبلغ من المال تلقائياً أشعر بالنعاس.,1,مصاريف الزواج كثيرة و التحفيز غائب تماما,magreb
380,381,يا داخل بين البصلة وقشرتها ما ينوبك إلا صنتها.,1,لاتتدخل فى ما لا يعنيك,nile
2338,2339,باﻷحضان يا غالية  الجونة,0,,nile
553,554,الناس خايفة من كورونا والاذكيا مش عايزين ياخدوا اللقاح,1,الناس اغبيا عشان لو خدوا اللقاح مش هيجيلهم كورونا,nile
1358,1359,قرار جمهوري بتعيين رئيس الجمهورية أصدق من انتخابات  تعبيرية  مقصور حق الترشح فيها على خمسة أفراد لنقاطع هذا العبث كفانا خداع للشعب,0,,msa
359,360,سكران يضرب في ميت لا الأول داري ولا الثاني حاسس به,1,سكران بيضرب ميت والميت مش حاسس بيه,nile
633,634,لست عاجزا عن قصف جبهتك لكن الصاروخ غالي والهدف رخيص,1,مش ضعيف ولا عاجز عن اني اخد حقي منك لكن انا كلامي غالي وانت اقل من اني اعملك قيمة,nile
315,316,تقول تجري موراك الكلاب,1,انت تمشي بسرعة,magreb
270,271,تسلم النحلة اللى جابتك ياعسل,1,بنت حلوة,nile
143,144,كوكب اليابان ❤️ حد يجيب مجلس الوزارء يفرجهم ع الموسم ده,1,نظام و دقة دولة اليابان,nile
149,150,اطفي نور الأوضة وولع شمعة هتلاقي خيالك فضفض معاه,1,الملل من الأغلاق اللي الناس بتعاني منه,nile
12,13,اللصوص مفيش اتعس منهم الناس قاعدة في البيوت ولو حبوا يتوبوا فالمساجد مقفولة,1,الكرونا وقفت حال اللصوص,nile
993,994, رصد | تظاهرات ووقفات احتجاجية منذ صباح اليوم بجامعة  الفيوم نظم طلاب جامعة الفيوم اليوم عدد من الوقفات …,0,,msa
1574,1575,تم بحمد الله القبض علي عصام العريان شوف بالصورة,0,,nile
529,530,ابن الحكومة اذا صادقنه اكلك واذا عاديته هلكك,1,الللى معاه واسطة صعب تصاحبه علشان دايما هيأذيك,nile
570,571,الاستاذه نيللي اللي فورمتها مظبوطه بالمللي,1,نيللي كريم جسدها الرائع ومبهر,nile
2277,2278,نصائح مهمة ورائعة لقروبات الواتس اب انشروها  رتويت  واتساب  السعودية  الكويت  قطر  درر,0,,msa
237,238,انت لا محصل رونالدو ولا ميسي,1,انت مبتعرفش تلعب,nile
547,548,محسسني انك اخترعت الذره يعني,1,انت معملتش حاجة مهمة,nile
780,781,انصار الحرية والديمقراطية فى اوروبا وضعوا الشجاعة قبل اى شيئ اخر ناد ايطالي ينتظر موقف الانقلاب من عبد الظاهر,0,,msa
40,41,حتى المثل اتقلب دلوقتى ل امشى عدل يحتار عدوك و صديقك فيك,1,محدش بيحب الخير لحد,nile
298,299,"لإَ تنخدُع في منظر إَلنإَسُ يإَخۉۉڪْ شف إَلبحَ‘ـِـِر .. شڪْلـہۧ حَلۉ بسُ .........  مإَلح .!""",1,متتخدعش بالمظاهر,msa
369,370,خلصت الاكل كله وف الاخر هفتانه,1,بتاكل كل الااكل اللي علي الصنيه وف الاخر تقول ماكلتش,nile
382,383,اطبخى ياجاريه كلف يا سيدي,1,ادفع بسخاء اذا اردت الحصول على شئ,nile
219,220,عامل زى ابو الفراجين معندوش يا اما ارمحينى,1,عامل نفسه جد وفاهم شغله وهو غبى,nile
1533,1534,الجيش السوري بعد 5ستوات من الصمود امام واشكال الإرهاب  يستحق وقفة اجلال هنيئا ل  سوريا و  الشعب السوري ستنتصرون ولو بعد حين,0,,msa
2445,2446, كنا     بـ   ديمستوراصرنا بـ   لافروفاللهم اكفيناهم بما شئت ,0,,msa
515,516,هاروح اتحزم وأجيلك🙂أحلى من الشرف مفيش,1,هرقص بس الرقص عيب,nile
1927,1928,كل شى كتبته غلط كل شى حسبته غلط فى  الامتحانات,0,,msa
323,324,عام الجيفة يسمانو الكلاب,1,السراقين يترفهو وقت الشده,magreb
2282,2283,قال الاستاذ علاء عبدالفتاح على الجزيرة بصراحة نحن نعرف ان خالد على لن يكسب الم يكن الافضل ان ندعم مرشحا ثوريا واحدا بدلا من تفتيت الأصوات,0,,msa
534,535,شد العمة شد تحت العمة قرد,1,افعال الشيخ والاعيبه تشبه افعال القرود,nile
36,37,2019: كسول ومش مستفيدين منه حاجة 2020: مواطن واعي ومسؤول,1,تغير نظرة الحكومات و الناس عن الشخص اللي مبيتحركش من بيته بسبب الكورونا,nile
232,233,شد عليه السفون,1,انس امر ذلك الشخص,nile
46,47,يا نهار ابيض ايه التور ده..محدش يلعب جنبه,1,ده لاعب قوى,nile
1437,1438,هلْ يزولُ الظُّلـــمُ طــوعًــا *** أو حنــانًــا للضِّعــــافِ؟! أينَـكـمْ فـرســانَ قــــومي *** كـي تـهبُّـوا باصطفـافِ  غزة تحت القصف,0,,msa
646,647,لي يشجع أرسنال ما عندوش ضغط قبل الماتش هههه,1,لي يشجع أرسنال عارف بلي خاسر خاسر يتفرج بلا ضغط,magreb
654,655,انا استحق جائزة الاوسكار في المذاكرة دا انا بذاكر ساعة في الشهر,1,انا مش بذاكر خالص,nile
73,74,انتا عايش في الالالاند ولا ايه,1,أنت مش فاهم حاجة,nile
479,480,هتقولهملى نيللى هقولهم ليك شيريهان,1,امش بدل ما اعورك,nile
643,644,الوضع دندرة,1,الوضع كثير ممتاز,levant
2455,2456,ﻛﻞ عام و انتم بخير تعرفوا علي مظاهر فرحه عيد الفطر المبارك من خلال البوم صور ﻟﻴﻮﻡ العيد من جميع انحاء العالم,0,,msa
286,287,نافخلي نفسه وعاملي فيها جاكي شان,1,فاكر نفسه قوي,nile
1999,2000, بمناسبة المولد النبوى الشريف نهنئ الامة الاسلامية و ندعو المسلمين الى صحيح الاسلام و ان الاسلام دين الجماعة الواحدة دون تشيع او تفرق او عنف ,0,,msa
213,214,انسهل التلفون,1,التلفون لم يتوقف عن الرنين,levant
1483,1484,القرآن يرفع الناس ويجعلهم في الدنيا والآخرة في أعلى مقام,0,,msa
383,384,و ده الزمالك اللى منيم أفريقيا من المغرب بس هو مجهد شويه,1,و ده الزمالك اللى فاشل فى افريقيا ويخسر كثيرا,nile
600,601,دا انت بلسم يسلام,1,انت تحاول ان تبدو جيدا لكنك غير ذلك,nile
2939,2940,إيمى سمير غانم تواصل حزنها على والديها بصورة جديدة وإيموشن دموع وقلب مكسور,0,,nile
182,183,انت فاكر نفسك بروس لي,1,انت فاكر نفسك قوي,nile
2067,2068,  تقريبا دي اكتر حاجة قريتها جسدت المذبحة اللي حصلت لاقرب ما يمكن  مذبحة بورسعيد,0,,nile
4,5,ده فاكر نفسه باشا و بيه كمان,1,ده مغرور و شايف نفسه علىالناس,nile
521,522,يا عم ده جلده ومش بيطلع جنيه,1,الشخص ده بخيل جدا,nile
1321,1322,  فيروز معنى لكل أوصاف الجمال. ,0,,msa
320,321,عندما تخبئ السناجب الاكل فوق الشجر للشتاء تأتي الزرافة برقبتها العالية وتسرقه وتأكله ولذلك سميت زرافه لانها تزرف اكلهم  معلومة من كيسي,1,عندما تخبئ السناجب الاكل فوق الشجر للشتاء تأتي الزرافة برقبتها العالية وتسرقه وهذه ملعومة خاطئة انا من ابتدعها,msa
2064,2065,1:  عبدالله شعبك يحبك  الملك اسأل من هو في ملكه مقيم ، وفي جلاله عظيم وعلى عباده رحيم ، وبكل شئ عليم ان يشفيك,0,,msa
2790,2791,يامن تتحدث باسم الاسلام ثم تلقى على من يخالفك في الراى بصندوق قمامة من البذاءات كثيرون ممن تشتمهم اكثر اسلاما منك لانهم مهذبون,0,,msa
3043,3044,الأهالى لازم يدفعوا تبرعات للمدرسة هههههه,0,,nile
441,442,ياعيني عليه يبقي غلطان ويجي يقولك صالحني ، اسمه الحقيقي قموصة,1,الناس ال غلطانة هي ال بقت تزعل,nile
2214,2215,حيث إن أصل استخدام الكلمة كان للمجند حديثا في الجيش العثمانلي، ودا كان غالبا فلاح، ودي كانت بتعتبر شتيمة  أصل كلمة مصرية  لغةمصري,0,,nile
492,493,شركة فيسبوك اكثر شركة بهتموا بالخصوصية,1,شركة فيسبوك لا تحترم الخصوصية,levant
3011,3012,مش تطوير البنية التحتية للقطاع الطبي والتعليمي أولى من مشروع بالمليارات مش هايفيد غير اعداد معينة,0,,nile
142,143,مبقاش عندى خلق اكحلها أنا حاليا يعميها على طول,1,معنديش صبر والا خلق انى تداوى الأمور أنا بقيت بعديها على طول,nile
2627,2628,الحمد لله أن لي ربايغفر الذنبويقبل التوب حليمستيرغفوررحيمجبارعليمحكيم تعرف إلى الله بأسمائه وصفاته  أح…,0,,nile
2168,2169,  عاجل |  أردوغان أمام الجمعية البرلمانية لـ  الناتو: نريد منكم أن تضعوا حدا لتحركات أعضاء المنظمات الإرهابية في بلادكم ولأنشطتهم الدعائية ,0,,msa
1608,1609,حمداً لله على سلامة أبنائنا المجندين المحررين، و نهنئ أهلهم و أحبائهم بعودتهم و نهنئ الشعب المصري بإطلاق سراحهم,0,,msa
282,283,المرتبات الكبيرة دى بتاعت العيال التوتو أما صراع البقاء على قيد الحياة لاخر الشهر ده للرجالة,1,المرتبات الصغيره لتصنع من الإنسان راجل قادر على تحدى الصعاب,nile
559,560,استـريحـي يـا أثيوبيـا ، استـريجي يـا الصـومـال ، جووو الخليج يـذوب النعــال xD,1,حر الخليج أشد من أثيوبيا والصومال,msa
268,269,"مايقهرك إلا الصراف يوم تسوي كشف عن الرصيد يطلع 0,26 ريال ويقولك : هل تريد إجراء عملية اخرى ! يعني وش بتعطيني علك طلع البطاقه طلعت روحك",1,مايقهرك إلا الصراف يوم تسوي كشف عن الرصيد يطلع الرصيد فاضي ويقولك اذا كنت تريد عمليات اخرى,gulf
514,515,الواحد شاف ايام اسود من قرن الخروب,1,الواحد شاف ايام صعبة جدا,nile
166,167,الناس اللي فاكرين نفسهم محور الكون دول طيبين اوي,1,اللي شايفين ان كل حاجة بتدور حواليهم هما بس ساذجين واغبيا,nile
1906,1907,ابراهيم عيسى سيحاكم بتهمة ازدراء الاسلام ؟ عيسى قدم فهما عميقا للدين لا يتوفر عند المرشد من يزدري الاسلام هو من يكذب ويزور ويظلم يا بديع,0,,nile
695,696,ان عادت تعود حط فى عينها عود,1,ان التجربه السيئه لن تتكرر,nile
